"Jahr","Summe Ablösungen","Summe Neueinträge","Investierte Summe netto"
1484,33.3333333333333,3893.33333333333,3860
1485,0,2050,5910
1486,1060,400,5250
1487,3300,1000,2950
1488,270,0,2680
1489,1000,400,2080
1490,0,1200,3280
1491,0,0,3280
1492,0,0,3280
1493,0,166.666666666667,3446.66666666667
1494,0,883.333333333333,4330
1495,266.666666666667,66.6666666666667,4130
1496,0,1066.66666666667,5196.66666666667
1497,1603.33333333333,2303.33333333333,5896.66666666667
1498,200,100,5796.66666666667
1499,0,160,5956.66666666667
1500,100,0,5856.66666666667
1501,0,700,6556.66666666667
1502,800,600,6356.66666666667
1503,40,708.333333333333,7025
1504,0,0,7025
1505,2804.16666666667,916.666666666667,5137.5
1506,800,800,5137.5
1507,416.666666666667,1320,6040.83333333333
1508,160,2400,8280.83333333333
1509,1000,0,7280.83333333333
1510,0,800,8080.83333333333
1511,0,120,8200.83333333333
1512,320,400,8280.83333333333
1513,2116.66666666667,0,6164.16666666667
1514,0,2800,8964.16666666667
1515,400,0,8564.16666666667
1516,604.166666666667,400,8360
1517,120,0,8240
1518,800,160,7600
1519,3360,1200,5440
1520,5040,1040,1440
1521,1440,0,0
