"Rechnungjahr","Weinungeld","Mühlenungeld","Weinungeld in Gasthäusern","Zölle","Von den Messen"
"1424/25",3896,5867,NA,2446,NA
"1425/26",3469,4682,NA,2306,NA
"1426/27",3738,5169,NA,2383,NA
"1427/28",5727,4945,NA,2451,NA
"1428/29",5571,5476,NA,2073,NA
"1429/30",5272,4751,NA,2658,NA
"1430/31",5527,4667,NA,2678,NA
"1431/32",5373,4987,NA,2651,NA
"1432/33",6817,6028,NA,3090,NA
"1433/34",9954,6518,467,3769,NA
"1434/35",11478,6506,1374,3308,NA
"1435/36",12751,6429,1017,3168,NA
"1436/37",9339,7345,1829,2803,NA
"1437/38",8242,6937,3072,3111,NA
"1438/39",8263,5842,3633,2335,NA
"1439/40",6071,5048,2442,2408,NA
"1440/41",5628,5356,2105,2944,NA
"1441/42",4838,5711,1532,2601,NA
"1442/43",4238,5827,1410,2171,NA
"1443/44",5835,5607,1336,2103,NA
"1444/45",5451,6303,482,967,NA
"1445-1447",4559,4648.5,751.5,1027,NA
"1447/48",3707,3719,510,1328,NA
"1448/49",2585,4136,0,1098,NA
"1449/50",3443,4673,74,2504,NA
"1450/51",3477,4477,15,1819,NA
"1451/52",2856,3840,NA,2340,NA
"1452/53",2498,3873,NA,3655,NA
"1453/54",4906,3900,NA,2279,NA
"1454/55",5688,3940,NA,1500,NA
"1455/56",5283,4249,NA,1293,NA
"1456/57",5312,4592,NA,1369,NA
"1457/58",3610,3745,NA,1361,NA
"1458/59",2556,3326,NA,1327,NA
"1459/60",3768,4400,NA,1804,NA
"1460/61",3723,4344,NA,1719,NA
"1461/62",4172,4711,NA,1796,NA
"1462/63",3608,4057,NA,2216,NA
"1463/64",3504,4074,NA,1860,NA
"1464/65",3750,4418,NA,2001,NA
"1465/66",3710,4783,NA,2261,NA
"1466/67",3911,5101,NA,2247,NA
"1467/68",3124,4244,NA,1901,NA
"1468/69",2818,4319,NA,1633,NA
"1469/70",3123,4530,NA,1896,NA
"1470/71",3447,4863,NA,2371,NA
"1471/72",3104,4586,NA,2446,NA
"1472/73",2742,4258,NA,1982,1017
"1473/74",2168,4609,NA,1883,382
"1474/75",2193,4352,NA,1781,214
"1475/76",2690,4680,NA,1887,298
"1476/77",3814,4892,NA,2183,388
"1477/78",3492,5056,NA,2390,524
"1478/79",3129,5282,NA,2037,567
"1479/80",2435,4284,NA,2134,519
"1480/81",3093,4926,NA,2232,620
"1481/82",3356,4614,NA,2096,502
"1482/83",3279,4104,NA,1975,384
"1483/84",2365,3715,NA,1679,312
"1484/85",1342,3783,NA,1762,291
