"Jahr","Weinungeld","Mühlenungeld","Zölle"
"1373/74",1587,1237,5295
"1374/75",1814,1032,2353
"1375/76",2308,1078,2106
"1376/77",1887,1092,2234
"1377/78",2513,1992,5794.6
"1378/79",3133,2000,7086.2
"1379/80",3648,1873,3010.4
"1380/81",3308,1650,3345.2
"1381/82",3285,1527,3997.2
"1382/83",3866,1504,3936.08
"1383/84",3452,824,4651.66
"1384/85",3366,1285,3658
"1385/86",2687,1663,3743.14
"1386/87",2863,2398,2961
"1387/88",4490,2988,2209
"1388/89",4994,3002,2424
"1389/90",6649,2933,2391
"1390/91",6275,3221,3067
"1391/92",4511,2487,2547
"1392/93",5713,3297,2692
"1393/94",5660,2616,3004
"1394/95",5468,3347,3643
"1395/96",5319,3553,3804
"1396/97",4393,3136,4522
"1397/98",4456,3092,4176
"1398/99",4192,3253,4619
"1399/1400",4749.16,3107,3902.68
