"Jahr","Steuereinnahmen","Leibrenten","verkäufliche Renten"
"1373/74",NA,NA,1398
"1374/75",NA,NA,5598
"1375/76",NA,NA,377
"1376/77",8334,NA,1397
"1377/78",39,NA,447
"1378/79",23,25,NA
"1379/80",NA,440,506
"1380/81",NA,128,1480
"1381/82",NA,NA,2924
"1382/83",NA,72,NA
"1383/84",NA,NA,7463
"1384/85",2099,665,631
"1385/86",5248.5,813,34777.8
"1386/87",2388,737.8,10986
"1387/88",NA,689.3,10096.13
"1388/89",NA,1023.78,11130.5
"1389/90",NA,NA,3650
"1390/91",NA,1411.2,2612
"1391/92",NA,2832,9620
"1392/93",NA,439.2,5046
"1393/94",NA,836.4,17957
"1394/95",NA,NA,12259.41
"1395/96",NA,246,9982
"1396/97",NA,2145.12,5291
"1397/98",NA,418.2,4258
"1398/99",NA,1087.32,3811
"1399/1400",NA,2317.92,1948
