"Jahr","ß","d","Preis in d","Basel: in d","Basel: in g Ag","Basel: Roggen (hl in fl)","Strasbourg: in d","Strasbourg: Roggen (hl in fl)","Strasbourg: in g Ag (1)","Strasbourg: in g Ag (2)","Weizen V in d","Strasbourg: Weizen (hl in fl)","Nürnberg: Sümmer in d","Nürnberg: hl in d","Nürnberg: Sümmer in fl","Nürnberg: Roggen (hl in fl)","Köln: hl in g Ag","Köln: Malter in Mk","Köln: hl in Allbus","Köln: Roggen oder Weizen (hl in fl)"
1443,32,NA,384,140.499798763309,16.2979766565439,0.509057241896047,53.3654673782062,0.423535455382589,15.686,13.5014632466862,NA,NA,303,95.2830188679245,1.96,0.616352201257862,NA,NA,NA,NA
1444,29,2,350,128.059712414474,14.854926640079,0.463984465269835,58.5298674470649,0.464522757516388,17.204,14.8080564641074,NA,NA,271,85.2201257861635,1.57,0.493710691823899,17.4390243902439,3.58,13.0975609756098,0.545731707317073
1445,50,5,605,221.360360030734,25.6778017635652,0.802030289966429,62.8335341711138,0.498678842627887,18.469,15.8968841452918,78,0.532834927739386,267,83.9622641509434,1.75,0.550314465408805,20.7317073170732,4.25,15.5487804878049,0.647865853658537
1446,NA,NA,0,NA,NA,NA,63.6942675159236,0.505510059650187,18.722,16.1146496815287,91,0.621640749029284,275,86.4779874213836,1.68,0.528301886792453,22.3170731707317,4.58,16.7560975609756,0.698170731707317
1447,NA,NA,0,NA,NA,NA,45.6188672749182,0.362054502181891,13.091,11.2678602169048,NA,NA,276,86.7924528301887,1.71,0.537735849056604,20.3658536585366,4.16,15.219512195122,0.634146341463415
1448,NA,NA,0,NA,NA,NA,43.0366672404889,0.341560851114991,12.35,10.6300568084008,65,0.444029106449489,247,77.6729559748428,1.32,0.415094339622642,18.2926829268293,3.75,13.719512195122,0.571646341463415
1449,NA,NA,0,NA,NA,NA,38.73300051644,0.307404766003492,11.115,9.56705112756068,55,0.37571693622649,235,73.8993710691824,1.77,0.556603773584906,17.4390243902439,3.58,13.0975609756098,0.545731707317073
1450,NA,NA,0,NA,NA,NA,40.4544672060596,0.321067200048092,11.609,9.99225339989671,58,0.39621058729339,263,82.7044025157233,1.31,0.411949685534591,13.5365853658537,2.76,10.0975609756098,0.420731707317073
1451,NA,NA,0,NA,NA,NA,43.0366672404889,0.341560851114991,12.35,10.6300568084008,60,0.40987302133799,202,63.5220125786164,1.22,0.383647798742138,15,3.08,11.2682926829268,0.469512195121951
1452,NA,NA,0,NA,NA,NA,37.0115338268204,0.293742331958892,10.621,9.14184885522465,59,0.40304180431569,215,67.6100628930818,1.28,0.40251572327044,15.609756097561,3.2,11.7073170731707,0.487804878048781
