"Jahr","Q [m3/s]","P [m ü. M.]","gleitender 100 jähriger MW","Gewässerkorrektionen"
1300,NA,NA,NA,NA
1301,NA,NA,NA,NA
1302,5611,NA,NA,NA
1303,NA,NA,NA,NA
1304,NA,NA,NA,NA
1305,NA,NA,NA,NA
1306,NA,NA,NA,NA
1307,NA,NA,NA,NA
1308,NA,NA,NA,NA
1309,NA,NA,NA,NA
1310,NA,NA,NA,NA
1311,NA,NA,NA,NA
1312,NA,NA,NA,NA
1313,NA,NA,NA,NA
1314,NA,NA,NA,NA
1315,NA,NA,NA,NA
1316,NA,NA,NA,NA
1317,NA,NA,NA,NA
1318,NA,NA,NA,NA
1319,NA,NA,NA,NA
1320,NA,NA,NA,NA
1321,NA,NA,NA,NA
1322,NA,NA,NA,NA
1323,NA,NA,NA,NA
1324,NA,NA,NA,NA
1325,NA,NA,NA,NA
1326,NA,NA,NA,NA
1327,NA,NA,NA,NA
1328,NA,NA,NA,NA
1329,NA,NA,NA,NA
1330,NA,NA,NA,NA
1331,NA,NA,NA,NA
1332,NA,NA,NA,NA
1333,NA,NA,NA,NA
1334,NA,NA,NA,NA
1335,NA,NA,NA,NA
1336,NA,NA,NA,NA
1337,NA,NA,NA,NA
1338,NA,NA,NA,NA
1339,NA,NA,NA,NA
1340,NA,NA,NA,NA
1341,NA,NA,NA,NA
1342,6407,NA,NA,NA
1343,5755,NA,NA,NA
1344,NA,NA,NA,NA
1345,NA,NA,NA,NA
1346,NA,NA,NA,NA
1347,NA,NA,NA,NA
1348,NA,NA,NA,NA
1349,NA,NA,NA,NA
1350,NA,NA,5924.33333333333,NA
1351,NA,NA,5924.33333333333,NA
1352,NA,NA,6081,NA
1353,NA,NA,6081,NA
1354,NA,NA,6081,NA
1355,NA,NA,6081,NA
1356,NA,NA,6081,NA
1357,NA,NA,6081,NA
1358,NA,NA,6081,NA
1359,NA,NA,6081,NA
1360,NA,NA,6081,NA
1361,NA,NA,6081,NA
1362,NA,NA,6081,NA
1363,NA,NA,6081,NA
1364,NA,NA,6081,NA
1365,NA,NA,6081,NA
1366,NA,NA,6081,NA
1367,NA,NA,6081,NA
1368,NA,NA,6081,NA
1369,NA,NA,6081,NA
1370,NA,NA,6081,NA
1371,NA,NA,6081,NA
1372,NA,NA,6081,NA
1373,NA,NA,6189.66666666667,NA
1374,6407,NA,6189.66666666667,NA
1375,NA,NA,6189.66666666667,NA
1376,NA,NA,6189.66666666667,NA
1377,NA,NA,6189.66666666667,NA
1378,NA,NA,6189.66666666667,NA
1379,NA,NA,6189.66666666667,NA
1380,NA,NA,6189.66666666667,NA
1381,NA,NA,6189.66666666667,NA
1382,NA,NA,6189.66666666667,NA
1383,NA,NA,6189.66666666667,NA
1384,NA,NA,5925.75,NA
1385,5134,NA,5925.75,NA
1386,NA,NA,5925.75,NA
1387,NA,NA,5925.75,NA
1388,NA,NA,5925.75,NA
1389,NA,NA,5925.75,NA
1390,NA,NA,5925.75,NA
1391,NA,NA,5925.75,NA
1392,NA,NA,5765.33333333333,NA
1393,NA,NA,5770.5,NA
1394,NA,NA,5770.5,NA
1395,NA,NA,5770.5,NA
1396,NA,NA,5770.5,NA
1397,NA,NA,5770.5,NA
1398,NA,NA,5770.5,NA
1399,NA,NA,5770.5,NA
1400,NA,NA,5770.5,NA
1401,NA,NA,5770.5,NA
1402,NA,NA,5770.5,NA
1403,NA,NA,5717.33333333333,NA
1404,5611,NA,5717.33333333333,NA
1405,NA,NA,5717.33333333333,NA
1406,NA,NA,5717.33333333333,NA
1407,NA,NA,5717.33333333333,NA
1408,NA,NA,5717.33333333333,NA
1409,NA,NA,5717.33333333333,NA
1410,NA,NA,5717.33333333333,NA
1411,NA,NA,5717.33333333333,NA
1412,NA,NA,5717.33333333333,NA
1413,NA,NA,5717.33333333333,NA
1414,NA,NA,5717.33333333333,NA
1415,NA,NA,5717.33333333333,NA
1416,NA,NA,5717.33333333333,NA
1417,NA,NA,5717.33333333333,NA
1418,NA,NA,5717.33333333333,NA
1419,NA,NA,5717.33333333333,NA
1420,NA,NA,5690.75,NA
1421,5611,NA,5690.75,NA
1422,NA,NA,5690.75,NA
1423,NA,NA,5834,NA
1424,6407,NA,5690.75,NA
1425,NA,NA,5690.75,NA
1426,NA,NA,5690.75,NA
1427,NA,NA,5690.75,NA
1428,NA,NA,5690.75,NA
1429,NA,NA,5690.75,NA
1430,NA,NA,5690.75,NA
1431,NA,NA,5690.75,NA
1432,NA,NA,5690.75,NA
1433,NA,NA,5690.75,NA
1434,NA,NA,5690.75,NA
1435,NA,NA,5876.33333333333,NA
1436,NA,NA,5876.33333333333,NA
1437,NA,NA,5876.33333333333,NA
1438,NA,NA,5876.33333333333,NA
1439,NA,NA,5876.33333333333,NA
1440,NA,NA,5876.33333333333,NA
1441,NA,NA,5876.33333333333,NA
1442,NA,NA,5876.33333333333,NA
1443,NA,NA,5876.33333333333,NA
1444,NA,NA,5876.33333333333,NA
1445,NA,NA,5876.33333333333,NA
1446,NA,NA,5876.33333333333,NA
1447,NA,NA,5876.33333333333,NA
1448,NA,NA,5876.33333333333,NA
1449,NA,NA,5876.33333333333,NA
1450,NA,NA,6009,NA
1451,6407,NA,6009,NA
1452,NA,NA,6009,NA
1453,NA,NA,6009,NA
1454,NA,NA,6141.66666666667,NA
1455,NA,NA,6141.66666666667,NA
1456,NA,NA,6141.66666666667,NA
1457,NA,NA,6141.66666666667,NA
1458,NA,NA,6141.66666666667,NA
1459,NA,NA,6141.66666666667,NA
1460,NA,NA,6141.66666666667,NA
1461,NA,NA,6141.66666666667,NA
1462,NA,NA,6141.66666666667,NA
1463,NA,NA,6141.66666666667,NA
1464,NA,NA,6141.66666666667,NA
1465,NA,NA,6141.66666666667,NA
1466,NA,NA,6141.66666666667,NA
1467,NA,NA,6141.66666666667,NA
1468,NA,NA,6141.66666666667,NA
1469,NA,NA,6141.66666666667,NA
1470,NA,NA,6141.66666666667,NA
1471,NA,NA,6407,NA
1472,NA,NA,6407,NA
1473,NA,NA,6407,NA
1474,NA,NA,6407,NA
1475,NA,NA,6407,NA
1476,NA,NA,6407,NA
