"Jahr","Bevölkerungszahl","Pestjahr"
1497,9200,FALSE
1501,9500,TRUE
1503,4500,FALSE
1517,7000,TRUE
1519,5000,FALSE
1525,6100,TRUE
1527,5100,FALSE
1540,8550,TRUE
1542,7550,FALSE
1552,9800,TRUE
1554,7800,FALSE
1563,9950,TRUE
1565,5959,FALSE
1577,8800,TRUE
1579,8000,FALSE
1582,8850,TRUE
1584,7650,FALSE
1590,9050,FALSE
1593,9600,TRUE
1595,8500,FALSE
1609,12000,TRUE
1612,8500,FALSE
1619,10650,FALSE
1627,12000,TRUE
1629,9650,FALSE
1634,10250,TRUE
1639,8000,FALSE
1649,10250,FALSE
1659,11900,FALSE
1666,13200,TRUE
1669,11750,FALSE
1679,12850,FALSE
1689,13850,FALSE
1699,14850,FALSE
1709,15450,FALSE
1729,16150,FALSE
1739,16500,FALSE
1749,16200,FALSE
1759,15800,FALSE
1769,15600,FALSE
1779,15040,FALSE
1789,15070,FALSE
1798,14678,FALSE
