"Jahr","Dinkel (in Viernzeln)","Roggen (in Viernzeln)","Hafer (in Viernzeln)"
1613,3449,66.5,3438
1614,2472,54,3385
1615,3428,56,3909
1616,4672,69.5,3628
1617,5224,83.5,3796
1618,5837,89,3209
1619,6596,80,3355
1620,7134,86.5,3612
1621,392,1.5,3270
1622,1504,12.5,3167
1623,2046,40.5,3380
1624,2863,55.5,3587
1625,3461,59.5,3562
1626,3810,58,3742
1627,864,46.5,2149
1628,1386,57.5,2510
1629,1321,58,2245
1630,1620,43,2816
1631,2295,49.5,3213
1632,2767,61,3500
1633,2482,0,3494
1634,3198,1,3744
1635,1274,0,1133
1636,1787,13,1323
1637,2000,25.5,1326
1638,1337,2,1589
1639,2142,41.5,2122
1640,2053,60.5,2196
1641,776,8.5,1536
1642,1613,42,2614
1643,1842,84.5,3177
1644,1566,95.5,2918
1645,2770,118,3438
1646,3683,189,3685
1647,4108,211,4048
1648,3910,220,4113
1649,2167,31.5,3384
1650,1555,29.5,3531
1651,1217,17,2704
1652,998,26.5,2829
