"Jahr","Handels- und Marktabgaben","Konsumabgaben Stadt","Konsumabgaben Land","Einwohnerzahl","Einwohnerzahl_alternativ"
1689,18082,33273,13084,13850,13850
1690,6442,30884,12534,NA,NA
1691,18871,27737,13378,NA,NA
1692,16426,23455,12632,NA,NA
1693,16454,22885,10655,NA,NA
1694,15164,23460,11193,NA,NA
1695,21525,21901,13182,NA,NA
1696,15954,18518,10762,NA,NA
1697,17668,19842,11393,NA,NA
1698,18319,18704,9473,NA,NA
1699,16922,18415,9067,14850,NA
1700,17754,14464,7898,14910,NA
1701,18479,16586,10826,NA,NA
1702,20796,20067,12234,NA,NA
1703,23053,19262,12256,NA,NA
1704,27540,19203,13665,NA,NA
1705,24974,18858,14557,NA,NA
1706,23793,18479,14766,NA,NA
1707,22916,16880,12411,NA,NA
1708,20344,19637,12752,NA,NA
1709,20919,22583,13273,15450,NA
1710,19907,19289,13068,NA,NA
1711,22412,17739,12585,NA,NA
1712,25584,14927,11055,NA,NA
1713,22868,17280,11511,NA,NA
1714,25584,18406,14842,NA,NA
1715,20689,17227,12528,NA,NA
1716,18077,18083,12853,NA,NA
1717,24113,17896,12933,NA,NA
1718,21226,18254,12457,NA,NA
1719,23019,14558,11422,NA,NA
1720,22986,12883,10411,NA,15631
1721,28402,15289,11522,NA,15699
1722,31339,15481,11982,NA,15797
1723,32148,16314,12537,NA,15795
1724,36509,14709,12802,NA,15862
1725,40783,18029,14083,NA,15895
1726,38923,19079,15378,NA,15965
1727,37370,17674,14549,NA,15818
1728,36767,15699,12838,NA,15775
1729,34778,14013,11956,16150,15736
1730,27003,14316,11149,NA,15791
1731,25844,18817,12927,NA,15847
1732,28805,16894,12983,NA,15802
1733,31643,19978,14311,NA,15777
1734,30579,18985,13868,NA,15874
1735,34072,21474,14860,NA,15935
1736,32089,23610,16076,NA,15901
1737,32596,20051,14560,NA,15924
1738,30354,19933,13766,NA,16042
1739,31763,19449,14088,16500,16122
1740,28405,16438,11204,NA,16058
1741,29826,18034,12319,NA,16047
1742,34367,18718,13493,NA,15956
1743,35007,17591,12755,NA,15885
1744,38067,19928,14452,NA,15871
1745,42659,18461,14851,NA,15890
1746,38890,19209,16478,NA,15867
1747,40568,17642,16987,NA,15790
1748,34772,16677,14426,NA,15801
1749,40358,15923,14887,16200,15829
1750,41874,16662,15180,NA,15859
1751,41159,15910,13417,NA,15758
1752,48431,17187,13393,NA,15750
1753,45639,15338,13092,NA,15734
1754,45275,15606,13488,NA,15694
1755,49489,17834,15178,NA,15625
1756,42032,16770,15477,NA,15571
1757,41920,15964,13620,NA,15506
1758,50561,18095,15390,NA,15547
1759,52185,18462,16740,15800,15424
1760,47940,17124,15641,NA,15399
1761,56444,16639,15734,NA,15338
1762,54820,15319,15672,NA,15290
1763,64285,18324,19025,NA,15299
1764,64632,17764,18871,NA,15339
1765,68550,19005,19749,NA,15319
1766,75802,21481,20874,NA,15341
1767,69549,18515,19716,NA,15237
1768,68818,18737,17476,NA,15236
1769,70172,18992,17979,15600,15247
1770,65528,16542,16101,NA,15187
1771,61573,16273,15071,NA,15208
1772,59128,15512,14770,NA,15104
1773,66724,14962,14154,NA,15114
1774,77369,17485,17306,NA,15085
1775,70670,15179,18855,NA,15090
1776,71946,14972,18131,NA,15088
1777,89372,17533,19076,NA,15085
1778,78367,15101,17917,NA,15075
1779,81528,15280,18295,15040,15040
1780,86814,16704,22115,NA,15107
1781,77950,14701,19752,NA,15110
1782,87130,15289,18815,NA,15091
1783,83897,14248,17752,NA,15131
1784,89175,14159,18145,NA,15140
1785,102869,16396,22157,NA,15097
1786,90951,17357,22625,NA,15075
1787,92029,17319,24975,NA,15067
1788,91972,17709,20801,NA,15101
1789,90037,16761,19906,15070,15070
1790,91072,17785,23062,NA,15112
1791,86430,18462,21539,NA,15033
1792,91773,19105,23898,NA,14944
1793,122073,21092,25691,NA,14881
1794,157757,20034,22320,NA,14906
1795,158615,23371,24946,NA,14857
1796,172065,26689,27201,NA,14792
1797,137277,24325,14396,14678,14871
