"Jahr","800–1500 Franken","1500–3000 Franken","3000–6000 Franken","6000–20 000 Franken",">20 000 Franken"
"1888",11120,3775,1630,845,312
"1889",11813,3790,1604,836,311
"1890",12331,3869,1601,837,313
"1891",12535,4066,1718,905,352
"1892",12872,4223,1813,973,377
"1893",14020,4341,1823,965,376
"1894",13899,4731,2080,1110,411
"1895",14653,4877,2060,1107,401
"1896",15561,5023,2305,1251,446
"1897",16868,5511,2393,1247,446
"1898",16385,6603,2786,1501,477
"1899",17483,7053,2890,1491,470
"1900",16817,7928,3306,1625,530
"1901",17219,8458,3307,1604,510
"1902",16906,8978,3522,1708,543
"1903",17536,9256,3528,1724,531
"1904",17286,9792,3794,1780,516
