"Jahr","Personenwagen","Motorräder","Fahrräder"
1916,NA,0.08,8.3
1917,NA,0.08,7.97
1918,NA,0.02,8.75
1919,NA,0.18,10.33
1920,NA,0.27,12.46
1921,0.36,0.26,13.64
1922,0.4,0.29,14.47
1923,0.57,0.33,15.89
1924,0.64,0.36,17.51
1925,0.89,0.43,18.76
1926,1.07,0.52,20.1
1927,1.34,0.68,20.88
1928,1.6,0.75,21.5
1929,2.2,0.88,21.64
1930,2.28,0.91,21.52
1931,2.52,0.83,21.39
1932,2.7,0.95,21.69
1933,2.59,0.74,23.61
1934,2.68,0.79,24.75
1935,2.84,0.82,26.18
1936,2.72,0.68,28.47
1937,2.73,0.65,30.15
1938,2.86,0.67,32.37
1939,2.68,0.39,33.74
1940,1.74,0.43,35.79
1941,0.5,0.42,39.98
1942,0.3,0.44,38.8
1943,0.33,0.42,39.1
1944,0.34,0.4,38
1945,0.44,0.41,37.2
1946,2.18,0.54,36.5
1947,2.64,0.7,38.4
1948,3.19,0.97,39.7
1949,3.75,1.31,40.4
1950,4.35,1.91,41.3
1951,4.88,2.69,41.6
1952,5.37,3.49,41.1
1953,5.89,4.24,40.4
1954,6.52,4.75,39.9
1955,7.22,5.15,39.1
1956,8.05,5.42,37.9
1957,8.69,5.52,36.6
1958,9.54,5.42,35.1
1959,10.36,5.44,34.5
1960,11.12,5.45,35.38
1961,12.55,6.23,32.89
1962,13.63,6.68,29.75
1963,14.62,7.08,27.69
1964,15.74,7.4,25.61
1965,16.82,7.55,23.42
1966,17.75,7.81,21.41
1967,18.26,7.87,20.49
1968,19.52,8.06,19.53
1969,21.08,8.57,18.93
1970,22.2,9.11,18.46
