"Jahr","Liberaldemokratische Bürgerpartei","Bürger- und Gewerbepartei","Radikaldemokratische Partei","Vereinigung Evangelischer Wähler","Partei der Arbeit","Sozialdemokratische Partei","Kath. und Christlich-soziale Volkspartei","Landesring der Unabhängigen","Andere Parteien"
1911,23,6,36,NA,NA,47,17,NA,1
1914,22,17,30,NA,NA,44,17,NA,0
1917,18,16,22,NA,NA,59,15,NA,0
1920,18,13,18,2,NA,63,11,NA,5
1923,18,14,19,2,16,45,11,NA,5
1926,18,15,16,3,22,39,13,NA,4
1929,18,15,18,3,25,34,13,NA,4
1932,16,13,23,3,19,38,14,NA,4
1935,15,10,20,3,16,46,13,NA,7
1938,16,5,19,1,15,51,14,5,4
1941,15,4,17,1,NA,55,11,21,6
1944,16,6,17,NA,18,45,13,9,6
1947,17,5,19,2,31,32,13,6,5
1950,13,5,20,4,18,38,16,10,6
1953,14,5,25,5,14,38,18,7,4
1956,12,4,21,5,16,40,19,9,4
1960,18,NA,24,5,8,39,20,9,7
1964,18,NA,25,5,8,42,19,11,2
