"Jahr","Personenwagen","Motorräder inkl. Mofas","Fahrräder"
1920,433,374,17451
1921,506,370,19165
1922,563,410,20329
1923,807,462,22451
1924,906,512,24869
1925,1268,609,26868
1926,1556,747,29138
1927,1965,1004,30641
1928,2380,1122,32012
1929,3337,1334,32808
1930,3510,1406,33143
1931,3946,1295,33555
1932,4354,1540,34988
1933,4252,1216,38806
1934,4465,1318,41205
1935,4782,1381,44057
1936,4600,1144,48192
1937,4615,1099,51063
1938,4868,1138,55080
1939,4586,667,57649
1940,2969,254,61054
1941,859,63,68243
1942,916,61,65985
1943,970,71,66979
1944,1001,68,65556
1945,1237,98,65258
1946,3894,966,65241
1947,4854,1285,70797
1948,6042,1837,75145
1949,7216,2508,77608
1950,8469,3732,80480
1951,9683,5333,82469
1952,10813,7030,82863
1953,12056,8662,82685
1954,13520,9852,82636
1955,15141,10802,81918
1956,17137,11550,80628
1957,18886,12012,79487
1958,21068,11966,77541
1959,23239,12205,77246
1960,25735,12368,79122
1961,29259,13711,74654
1962,32445,15555,68785
1963,34188,16571,64759
1964,37219,17494,60538
1965,39913,17924,55576
1966,42090,18515,50773
1967,43272,18653,48580
1968,46277,19121,46316
1969,50319,20446,45163
1970,52892,21716,43991
1971,51220,22628,42936
1972,52339,23430,42598
1973,52833,23467,43858
1974,52340,23338,46448
1975,55002,23119,47629
1976,55961,22947,49606
1977,56836,23066,50750
1978,61326,23109,52099
1979,61096,22574,54361
1980,56103,21167,56580
1981,56969,21316,60575
1982,57579,20841,63302
1983,57585,20074,66248
1984,57759,19286,68692
1985,57351,18857,72931
1986,57748,18586,74921
1987,57469,17768,76312
1988,57389,16943,78427
1989,58301,16566,83368
1990,58949,14973,NA
1991,59645,14400,NA
1992,59779,14122,NA
1993,59440,13684,NA
1994,59556,13279,NA
1995,59525,13047,NA
1996,59278,12654,NA
1997,58767,12443,NA
1998,59381,12247,NA
1999,59719,12137,NA
2000,59819,12182,NA
2001,60025,11974,NA
2002,59762,11724,NA
2003,59368,11857,NA
2004,62610,12310,NA
2005,62169,12233,NA
2006,61706,12126,NA
2007,61315,12113,NA
2008,61027,12067,NA
2009,60842,12071,NA
2010,61285,12151,NA
2011,61641,12264,NA
2012,62685,13428,NA
2013,62327,13200,NA
2014,62621,13220,NA
2015,62369,12424,NA
2016,63334,13749,NA
2017,63264,13853,NA
2018,62463,13831,NA
2019,61939,13945,NA
2020,61988,13798,NA
2021,61901,14003,NA
2022,61306,14120,NA
