"Jahr","Wohnbevölkerung Kanton Basel-Stadt","Wohnbevölkerung Kanton Basel-Landschaft (ab 1994 mit Laufental)"
1940,169131,NA
1941,169921,94459
1942,170842,95281
1943,171904,95716
1944,173928,96759
1945,176794,97276
1946,181595,99941
1947,186489,102485
1948,190773,104744
1949,193359,105893
1950,196319,107549
1951,199487,109745
1952,201707,112431
1953,204383,115152
1954,206415,119196
1955,208689,123740
1956,211297,128210
1957,215186,132726
1958,218395,135269
1959,220096,139091
1960,222489,148282
1961,225111,153303
1962,228195,159941
1963,230599,165238
1964,231810,171338
1965,231764,176439
1966,232091,182340
1967,231245,188820
1968,232617,193938
1969,232795,200949
1970,236219,203432
1971,232379,210120
1972,229966,214771
1973,227343,218785
1974,223837,221668
1975,220334,220502
1976,216004,219182
1977,212446,218485
1978,210032,218806
1979,208079,220065
1980,206533,221266
1981,205006,222187
1982,203819,223493
1983,203104,224850
1984,202288,226284
1985,201903,228048
1986,199548,229202
1987,198204,231632
1988,196405,232707
1989,195859,233798
1990,196419,235421
1991,198094,237118
1992,198456,236735
1993,199186,237852
1994,198729,254181
1995,197802,255124
1996,196489,256535
1997,194253,257822
1998,192121,259485
1999,190141,261380
2000,188581,262165
2001,187459,262934
2002,188015,265455
2003,188213,266881
2004,188477,267538
2005,187920,268382
2006,187792,269638
2007,188000,271341
2008,189556,273147
2009,190815,274673
2010,190799,275756
2011,192304,277042
2012,193459,277973
2013,195459,280070
2014,196471,282651
2015,197204,284960
2016,198206,286923
2017,198988,288361
2018,200256,289352
2019,200407,290633
2020,201971,292080
