"Jahr","POB","FraB","PdA","GB 
(Grünes Bündnis aus Grüne & BastA, ab 2021 GAB)","GP","SP","LdU","GLP","DSP","CVP 
(ab 2021 Die Mitte)","EVP 
(bis 2006 VEW)","FDP 
(bis 1973 RDP)","LDP","SVP","NA 
(ab 1991 UVP, ab 1992 SD)","Andere","Total"
1960,NA,NA,8,NA,NA,39,9,NA,NA,20,5,24,18,NA,NA,7,130
1964,NA,NA,8,NA,NA,42,11,NA,NA,19,5,25,18,NA,NA,2,130
1968,NA,NA,8,NA,NA,36,19,NA,NA,20,5,19,19,NA,2,2,130
1972,5,NA,9,NA,NA,36,12,NA,NA,17,6,13,19,NA,10,3,130
1976,7,NA,8,NA,NA,39,8,NA,NA,16,6,17,19,NA,9,1,130
1980,13,NA,6,NA,NA,37,5,NA,NA,18,7,21,18,NA,4,1,130
1984,15,NA,3,NA,NA,28,5,NA,11,15,10,21,15,NA,7,NA,130
1988,12,NA,2,NA,5,27,8,NA,9,15,7,19,15,NA,10,1,130
1992,6,5,1,NA,3,32,3,NA,10,15,6,21,17,3,8,NA,130
1996,NA,7,NA,13,NA,39,NA,NA,10,13,6,17,14,3,8,NA,130
2000,NA,NA,NA,12,NA,39,NA,NA,6,14,6,18,16,14,5,NA,130
2004,NA,NA,NA,16,NA,46,NA,NA,6,11,6,17,12,15,NA,1,130
2008,NA,NA,NA,13,NA,32,NA,5,3,8,4,11,9,14,NA,1,100
2012,NA,NA,NA,13,NA,33,NA,5,NA,8,1,12,10,15,NA,3,100
2016,NA,NA,NA,14,NA,34,NA,4,NA,7,1,10,14,15,NA,1,100
2020,NA,NA,NA,18,NA,30,NA,8,NA,7,3,7,14,11,NA,2,100
