"Jahr","POB","GP","SP","LdU","GLP","CVP 
(ab 2021 Die Mitte)","FDP 
(bis 1973 RDP)","LDP","SVP","NA (ab 1991 UVP, ab 1982 SD)","Total"
1963,NA,NA,3,1,NA,1,2,1,NA,NA,8
1967,NA,NA,3,1,NA,1,2,1,NA,NA,8
1971,NA,NA,2,1,NA,1,1,1,NA,1,7
1975,NA,NA,3,1,NA,1,1,1,NA,NA,7
1979,1,NA,3,NA,NA,1,1,1,NA,NA,7
1983,1,NA,2,1,NA,1,1,NA,NA,NA,6
1987,1,NA,2,1,NA,NA,1,1,NA,NA,6
1991,NA,NA,2,1,NA,1,1,1,NA,NA,6
1995,NA,NA,4,NA,NA,NA,1,1,NA,NA,6
1999,NA,NA,3,NA,NA,NA,1,1,1,NA,6
2003,NA,NA,3,NA,NA,NA,1,NA,1,NA,5
2007,NA,1,2,NA,NA,NA,1,NA,1,NA,5
2011,NA,NA,2,NA,NA,1,1,NA,1,NA,5
2015,NA,1,2,NA,NA,NA,NA,1,1,NA,5
2019,NA,1,2,NA,1,NA,NA,1,NA,NA,5
