"Jahr","Grüne","SP","Parteilos","GLP","DSP","CVP","FDP","LDP","Total","NeueLegislatur"
1960,NA,3,NA,NA,NA,1,2,1,7,TRUE
1961,NA,3,NA,NA,NA,1,2,1,7,FALSE
1962,NA,3,NA,NA,NA,1,2,1,7,FALSE
1963,NA,3,NA,NA,NA,1,2,1,7,FALSE
1964,NA,3,NA,NA,NA,1,2,1,7,TRUE
1965,NA,3,NA,NA,NA,1,2,1,7,FALSE
1966,NA,3,NA,NA,NA,1,2,1,7,FALSE
1967,NA,3,NA,NA,NA,1,2,1,7,FALSE
1968,NA,3,NA,NA,NA,1,2,1,7,TRUE
1969,NA,3,NA,NA,NA,1,2,1,7,FALSE
1970,NA,3,NA,NA,NA,1,2,1,7,FALSE
1971,NA,3,NA,NA,NA,1,2,1,7,FALSE
1972,NA,3,NA,NA,NA,1,2,1,7,TRUE
1973,NA,3,NA,NA,NA,1,2,1,7,FALSE
1974,NA,3,NA,NA,NA,1,2,1,7,FALSE
1975,NA,3,NA,NA,NA,1,2,1,7,FALSE
1976,NA,2,1,NA,NA,1,2,1,7,TRUE
1977,NA,2,1,NA,NA,1,2,1,7,FALSE
1978,NA,2,1,NA,NA,1,2,1,7,FALSE
1979,NA,2,1,NA,NA,1,2,1,7,FALSE
1980,NA,2,1,NA,NA,1,2,1,7,TRUE
1981,NA,2,1,NA,NA,1,2,1,7,FALSE
1982,NA,1,1,NA,1,1,2,1,7,FALSE
1983,NA,0,1,NA,2,1,2,1,7,FALSE
1984,NA,2,NA,NA,1,1,2,1,7,TRUE
1985,NA,2,NA,NA,1,1,2,1,7,FALSE
1986,NA,2,NA,NA,1,1,2,1,7,FALSE
1987,NA,2,NA,NA,1,1,2,1,7,FALSE
1988,NA,2,NA,NA,1,1,2,1,7,TRUE
1989,NA,2,NA,NA,1,1,2,1,7,FALSE
1990,NA,2,NA,NA,1,1,2,1,7,FALSE
1991,NA,2,NA,NA,1,1,2,1,7,FALSE
1992,NA,2,NA,NA,1,1,2,1,7,TRUE
1993,NA,2,NA,NA,1,1,2,1,7,FALSE
1994,NA,2,NA,NA,1,1,2,1,7,FALSE
1995,NA,2,NA,NA,1,1,2,1,7,FALSE
1996,NA,2,NA,NA,1,1,2,1,7,FALSE
1997,NA,3,NA,NA,1,0,2,1,7,TRUE
1998,NA,3,NA,NA,1,0,2,1,7,FALSE
1999,NA,3,NA,NA,1,0,2,1,7,FALSE
2000,NA,2,NA,NA,1,1,1,2,7,FALSE
2001,NA,2,NA,NA,1,1,1,2,7,TRUE
2002,NA,2,NA,NA,1,1,1,2,7,FALSE
2003,NA,2,NA,NA,1,1,1,2,7,FALSE
2004,NA,2,NA,NA,1,1,1,2,7,FALSE
2005,1,3,NA,NA,NA,1,1,1,7,TRUE
2006,1,3,NA,NA,NA,1,1,1,7,FALSE
2007,1,3,NA,NA,NA,1,1,1,7,FALSE
2008,1,3,NA,NA,NA,1,1,1,7,FALSE
2009,1,3,NA,NA,NA,1,1,1,7,TRUE
2010,1,3,NA,NA,NA,1,1,1,7,FALSE
2011,1,3,NA,NA,NA,1,1,1,7,FALSE
2012,1,3,NA,NA,NA,1,1,1,7,FALSE
2013,1,3,NA,NA,NA,1,1,1,7,TRUE
2014,1,3,NA,NA,NA,1,1,1,7,FALSE
2015,1,3,NA,NA,NA,1,1,1,7,FALSE
2016,1,3,NA,NA,NA,1,1,1,7,FALSE
2017,1,3,NA,NA,NA,1,1,1,7,TRUE
2018,1,3,NA,NA,NA,1,1,1,7,FALSE
2019,1,3,NA,NA,NA,1,1,1,7,FALSE
2020,1,3,NA,NA,NA,1,1,1,7,FALSE
2021,0,3,NA,1,NA,1,0,2,7,TRUE
2022,0,3,NA,1,NA,1,0,2,7,FALSE
2023,0,3,NA,1,NA,1,0,2,7,FALSE
2024,0,3,NA,1,NA,1,0,2,7,FALSE
