"Jahr","Kanton","Matthäus","St. Johann","Breite","Gundeldingen","Bruderholz","Riehen"
1960,10,12.7,8.71,4.87,9.22,7.06,8.6
1961,9.9,NA,NA,NA,NA,NA,NA
1962,11.3,NA,NA,NA,NA,NA,NA
1963,12.3,NA,NA,NA,NA,NA,NA
1964,13.3,NA,NA,NA,NA,NA,NA
1965,13.7,NA,NA,NA,NA,NA,NA
1966,14.4,NA,NA,NA,NA,NA,NA
1967,15,NA,NA,NA,NA,NA,NA
1968,16.1,NA,NA,NA,NA,NA,NA
1969,17,NA,NA,NA,NA,NA,NA
1970,17.1,31.7,20.7,12.1,24.4,7.2,11.2
1971,17.3,NA,NA,NA,NA,NA,NA
1972,17.9,NA,NA,NA,NA,NA,NA
1973,18.7,NA,NA,NA,NA,NA,NA
1974,18.9,NA,NA,NA,NA,NA,NA
1975,18.5,NA,NA,NA,NA,NA,NA
1976,18,NA,NA,NA,NA,NA,NA
1977,17.6,NA,NA,NA,NA,NA,NA
1978,17.1,NA,NA,NA,NA,NA,NA
1979,17.2,NA,NA,NA,NA,NA,NA
1980,17.6,32,26.1,11.8,24.4,6.4,9.9
1981,18,NA,NA,NA,NA,NA,NA
1982,18.3,NA,NA,NA,NA,NA,NA
1983,18.8,NA,NA,NA,NA,NA,NA
1984,19.2,NA,NA,NA,NA,NA,NA
1985,19.8,NA,NA,NA,NA,NA,NA
1986,19.8,NA,NA,NA,NA,NA,NA
1987,20.4,NA,NA,NA,NA,NA,NA
1988,20.9,NA,NA,NA,NA,NA,NA
1989,21.5,NA,NA,NA,NA,NA,NA
1990,22.5,40.9,34.7,13.8,32.6,7.9,9.3
1991,23.6,NA,NA,NA,NA,NA,NA
1992,24.3,NA,NA,NA,NA,NA,NA
1993,25,NA,NA,NA,NA,NA,NA
1994,25.6,NA,NA,NA,NA,NA,NA
1995,26.2186428853095,NA,NA,NA,NA,NA,NA
1996,26.5226043188168,NA,NA,NA,NA,NA,NA
1997,26.7558287388097,NA,NA,NA,NA,NA,NA
1998,27.013184399415,NA,NA,NA,NA,NA,NA
1999,27.5232590551223,NA,NA,NA,NA,NA,NA
2000,27.5595102369804,48.9,40.6,23.3,37.7,12.2,13.1
2001,28.077606303245,NA,NA,NA,NA,NA,NA
2002,28.8726963274207,NA,NA,NA,NA,NA,NA
2003,29.4650210134263,NA,NA,NA,NA,NA,NA
2004,29.9659905452655,NA,NA,NA,NA,NA,NA
2005,30.4,NA,NA,NA,NA,NA,NA
2006,31.2,NA,NA,NA,NA,NA,NA
2007,31.3,NA,NA,NA,NA,NA,NA
2008,31.8,NA,NA,NA,NA,NA,NA
2009,32.6,NA,NA,NA,NA,NA,NA
2010,32.8,50.4155300386982,42.3322596495059,28.8881069669247,38.8825726815007,20.2783077095724,20.5849863118966
2011,33.5,NA,NA,NA,NA,NA,NA
2012,33.9,NA,NA,NA,NA,NA,NA
2013,34.5607007096117,NA,NA,NA,NA,NA,NA
2014,35.0072020807142,NA,NA,NA,NA,NA,NA
2015,35.3,NA,NA,NA,NA,NA,NA
2016,35.7244483012623,NA,NA,NA,NA,NA,NA
2017,36,NA,NA,NA,NA,NA,NA
2018,36.4,NA,NA,NA,NA,NA,NA
2019,36.6,NA,NA,NA,NA,NA,NA
2020,37,50.7,43.2,35.6,40,25,27.7
