"Jahr","Gesamte Schweiz","Kanton Basel-Stadt","Kanton Genf","Kanton Zürich"
"1973",0,0,0,0
"1974",0,0,0,0
"1975",0.3,0.4,0.4,0.3
"1976",0.7,1.1,0.6,0.8
"1977",0.4,0.9,0.5,0.4
"1978",0.3,0.8,0.7,0.3
"1979",0.3,0.7,1,0.2
"1980",0.2,0.5,0.7,0.1
"1981",0.2,0.6,0.4,0.1
"1982",0.4,1.1,0.6,0.3
"1983",0.9,2.1,1.1,0.7
"1984",1.1,2.7,1.3,1
"1985",1,2.7,1.2,0.8
"1986",0.8,2.4,1,0.6
"1987",0.8,2.1,1.2,0.5
"1988",0.7,2,1.1,0.4
"1989",0.6,1.5,1,0.4
"1990",0.5,1.2,1.2,0.3
"1991",1.1,1.9,2.7,0.7
"1992",2.5,3.6,4.7,2.1
"1993",4.5,5.5,7.2,4.1
"1994",4.7,5.7,7.6,4.5
"1995",4.2,4.9,6.9,4
"1996",4.7,4.7,6.8,4.3
"1997",5.2,4.9,7.8,5.2
"1998",3.9,3.7,6.1,4.2
"1999",2.7,2.5,5.1,2.9
"2000",1.8,2.1,4.1,1.8
"2001",1.7,2.2,4,1.7
"2002",2.5,3,5.1,3
