"Jahr","Eheschliessungen","Ehescheidungen"
1960,2215,422
1961,2386,399
1962,2315,361
1963,2169,357
1964,2161,371
1965,2235,376
1966,2096,391
1967,2144,389
1968,2170,376
1969,2132,372
1970,2050,376
1971,1943,531
1972,1744,478
1973,1507,512
1974,1308,497
1975,1171,488
1976,1027,524
1977,1012,542
1978,1012,541
1979,1040,536
1980,1103,467
1981,1118,479
1982,1202,483
1983,1183,500
1984,1021,515
1985,1067,441
1986,1179,391
1987,1247,452
1988,1318,436
1989,1345,382
1990,1284,439
1991,1356,478
1992,1222,417
1993,1157,533
1994,1127,558
1995,1045,528
1996,987,495
1997,981,551
1998,921,494
1999,911,586
2000,880,234
2001,828,470
2002,886,423
2003,875,436
2004,824,480
2005,836,585
2006,761,599
2007,816,589
2008,905,530
2009,899,555
2010,902,649
2011,844,413
2012,879,449
2013,817,412
2014,841,409
2015,844,412
2016,837,413
2017,903,349
2018,928,361
2019,845,394
2020,777,378
