"Jahr","Leerstandsquote"
1960,0.1
1961,NA
1962,NA
1963,0
1964,0
1965,0.1
1966,0.1
1967,0
1968,0
1969,0
1970,0.1
1971,0
1972,0.1
1973,0.2
1974,0.5
1975,1.1
1976,1.3
1977,1.1
1978,0.9
1979,0.6
1980,0.4
1981,0.7
1982,0.9
1983,NA
1984,0.8
1985,1.1
1986,0.8
1987,0.7
1988,0.5
1989,0.3
1990,0.2
1991,0.2
1992,0.2
1993,0.2
1994,0.3
1995,0.5
1996,0.8
1997,1.2
1998,1.5
1999,1.5
2000,1.3
2001,1.4
2002,1.3
2003,1.4
2004,1.4
2005,1.5
2006,1.4
2007,1.4
2008,1.2
2009,0.9
2010,0.7
2011,0.5
2012,0.5
2013,0.3
2014,0.2
2015,0.3
2016,0.4
2017,0.5
2018,0.7
2019,1
2020,1
