"Jahr","Zuschauer:innen FCB-Heimspiele","Zuschauer:innen Konzerte","Anzahl Heimspiele"
1960,96400,0,14
1961,81800,0,14
1962,72600,0,12
1963,81580,0,13
1964,77700,0,13
1965,80400,0,13
1966,92500,0,13
1967,169300,0,12
1968,199200,0,14
1969,196000,0,12
1970,252000,0,14
1971,211000,0,12
1972,211500,0,14
1973,181500,0,12
1974,108000,0,13
1975,142500,0,14
1976,109500,0,13
1977,222500,0,19
1978,154500,0,15
1979,118500,0,15
1980,172500,0,17
1981,101400,0,14
1982,90100,54407,16
1983,71800,132646,14
1984,71100,38505,16
1985,71500,33797,14
1986,64453,0,15
1987,86800,133657,19
1988,73600,144553,18
1989,58300,0,18
1990,103600,191608,18
1991,75200,91667,18
1992,86310,242491,18
1993,159600,148126,16
1994,292426,148126,18
1995,249300,148000,18
1996,184000,76000,18
1997,169400,0,18
1998,228145,0,18
1999,122796,0,18
2000,122477,0,18
2001,459035,45000,18
2002,498948,0,18
2003,461917,54000,16
2004,454735,61000,18
2005,407542,0,17
2006,325324,61000,18
2007,434329,0,18
2008,403833,0,18
2009,384663,0,18
2010,488764,0,18
2011,527197,25000,18
2012,502739,0,17
2013,512399,14000,18
2014,509085,45000,18
2015,522435,30000,18
2016,496749,0,18
2017,474016,0,18
2018,431193,35000,17
2019,410893,0,18
2020,77779,0,16
2021,192950,0,20
2022,383952,0,17
