"Jahr","Kinobesuche","Museumseintritte"
1945,2566718,NA
1946,3057371,NA
1947,3307126,NA
1948,3643566,NA
1949,3551598,NA
1950,3698579,NA
1951,3743730,NA
1952,3597604,NA
1953,3587220,NA
1954,3986789,NA
1955,3812752,NA
1956,4125731,NA
1957,4236215,NA
1958,3959724,NA
1959,4010198,NA
1960,3867024,NA
1961,3459476,NA
1962,3451284,NA
1963,3483452,NA
1964,3342801,NA
1965,3339763,NA
1966,3112566,NA
1967,2993377,NA
1968,2847439,NA
1969,2817966,NA
1970,2523010,NA
1971,2431850,NA
1972,2446545,NA
1973,2209700,NA
1974,2069262,NA
1975,1956214,NA
1976,1578445,NA
1977,1648737,NA
1978,1645860,NA
1979,1698137,NA
1980,1698120,632125
1981,1670712,820435
1982,1727908,715826
1983,1682416,716683
1984,1553144,744433
1985,1461367,632102
1986,1479809,903581
1987,1422845,737011
1988,1359672,805447
1989,1347611,860985
1990,1254361,1031317
1991,1299274,751392
1992,1209954,776000
1993,1367829,587000
1994,1398938,688000
1995,1289319,554000
1996,1314474,705000
1997,1311117,968000
1998,1312965,1160000
1999,1245949,994000
2000,1261317,1050000
2001,1270439,1325019
2002,1311384,1240842
2003,1162152,1197642
2004,1224808,1745142
2005,987154,1202959
2006,915071,1334031
2007,843992,1399781
2008,843873,1291553
2009,873439,1647456
2010,833686,1279498
2011,791686,1296334
2012,843495,1311915
2013,727974,1335525
2014,654374,1262438
2015,644883,1345097
2016,629843,1376190
2017,646086,1487910
2018,572236,1231144
2019,593467,1441515
2020,194140,857239
