"","Jahre_Doppel","Jahre","Handels- und Marktabgaben","Konsumabgaben Stadt","Konsumabgaben Land","Einwohnerzahl","Einwohnerzahl_alternativ"
"1","1689/90",1689,18082,33273,13084,13850,NA
"2","1690/91",1690,6442,30884,12534,NA,NA
"3","1691/92",1691,18871,27737,13378,NA,NA
"4","1692/93",1692,16426,23455,12632,NA,NA
"5","1693/94",1693,16454,22885,10655,NA,NA
"6","1694/95",1694,15164,23460,11193,NA,NA
"7","1695/96",1695,21525,21901,13182,NA,NA
"8","1696/97",1696,15954,18518,10762,NA,NA
"9","1697/98",1697,17668,19842,11393,NA,NA
"10","1698/99",1698,18319,18704,9473,NA,NA
"11","1699/00",1699,16922,18415,9067,14850,NA
"12","1700/01",1700,17754,14464,7898,14910,NA
"13","1701/02",1701,18479,16586,10826,NA,NA
"14","1702/03",1702,20796,20067,12234,NA,NA
"15","1703/04",1703,23053,19262,12256,NA,NA
"16","1704/05",1704,27540,19203,13665,NA,NA
"17","1705/06",1705,24974,18858,14557,NA,NA
"18","1706/07",1706,23793,18479,14766,NA,NA
"19","1707/08",1707,22916,16880,12411,NA,NA
"20","1708/09",1708,20344,19637,12752,NA,NA
"21","1709/10",1709,20919,22583,13273,15450,NA
"22","1710/11",1710,19907,19289,13068,NA,NA
"23","1711/12",1711,22412,17739,12585,NA,NA
"24","1712/13",1712,25584,14927,11055,NA,NA
"25","1713/14",1713,22868,17280,11511,NA,NA
"26","1714/15",1714,25584,18406,14842,NA,NA
"27","1715/16",1715,20689,17227,12528,NA,NA
"28","1716/17",1716,18077,18083,12853,NA,NA
"29","1717/18",1717,24113,17896,12933,NA,NA
"30","1718/19",1718,21226,18254,12457,NA,NA
"31","1719/20",1719,23019,14558,11422,NA,NA
"32","1720/21",1720,22986,12883,10411,NA,15631
"33","1721/22",1721,28402,15289,11522,NA,15699
"34","1722/23",1722,31339,15481,11982,NA,15797
"35","1723/24",1723,32148,16314,12537,NA,15795
"36","1724/25",1724,36509,14709,12802,NA,15862
"37","1725/26",1725,40783,18029,14083,NA,15895
"38","1726/27",1726,38923,19079,15378,NA,15965
"39","1727/28",1727,37370,17674,14549,NA,15818
"40","1728/29",1728,36767,15699,12838,NA,15775
